Date,Open,High,Low,Close,Adj Close,Volume,SP_open,SP_high,SP_low,SP_close,SP_Ajclose,SP_volume,DJ_open,DJ_high,DJ_low,DJ_close,DJ_Ajclose,DJ_volume,EG_open,EG_high,EG_low,EG_close,EG_Ajclose,EG_volume,EU_Price,EU_open,EU_high,EU_low,EU_Trend,OF_Price,OF_Open,OF_High,OF_Low,OF_Volume,OF_Trend,OS_Trend
12/30/2011,152.139999,153.75,151.789992999999,151.990005,151.990005,10852700,126.019997,126.330002,125.5,125.5,108.993294,95599000,12286.28027,12290.05957,12213.78027,12217.55957,12217.55957,96670000,68.349998,69.849998,67.5,68.550003,66.229027,499400,1.2948,1.2963,1.3001,1.2904,0,107.38,108,108.25,106.62,87140,0,0
1/3/2012,154.759995,156.300003,154.550003,155.919998,155.919998,13385800,127.760002,128.380005,127.43,127.5,110.730225,193697900,12221.19043,12479.65039,12221.19043,12397.37988,12397.37988,152560000,70.699997,73.75,70.699997,73.699997,71.204666,695400,1.3051,1.2933,1.3077,1.2931,1,112.13,108.35,112.44,108.35,178620,1,1
1/4/2012,155.429993,157.380005,155.339996,156.710007,156.710007,11549700,127.199997,127.809998,126.709999,127.699997,110.903914999999,127186500,12392.45996,12430,12337.25,12418.41992,12418.41992,145130000,73.699997,74.5,72.5,73.099998,70.624977,743500,1.2942,1.3051,1.3074,1.2898,0,113.7,112.1,113.97,111.27,221270,1,1
1/5/2012,155.369995,158.029999,155.25,157.779999,157.779999,11621600,127.010002,128.229996,126.43,128.039992999999,111.199211,173895000,12418.41992,12435.98047,12283.90039,12415.7002,12415.7002,158440000,73.150002,73.800003,71.849998,73.199997,70.721588,534300,1.278,1.2944,1.2948,1.2769,0,112.74,113.5,114.64,112.1,205410,0,0
1/6/2012,158.589996,158.630005,156.380005,157.199997,157.199997,9790500,128.199997,128.220001,127.290001,127.709999,110.912621,148050000,12407.4502,12415.24023,12332.41016,12359.91992,12359.91992,131120000,73.150002,74.099998,71.5,71.949997,69.513908,461500,1.2721,1.2788,1.2812,1.2696,0,113.06,112.85,113.68,112.03,190830,1,1
1/9/2012,157.360001,157.589996,156.190002,156.5,156.5,8771900,128,128.179993,127.410004,128.020004,111.181839,99530200,12359.30957,12409.08008,12333.84961,12392.69043,12392.69043,122200000,72.449997,73.300003,71.050003,71.949997,69.513908,615800,1.2767,1.2693,1.2788,1.2666,1,112.45,113.42,113.88,111.8,203390,0,0
1/10/2012,158.970001,159.470001,158.470001,158.639999,158.639999,8371400,129.389999,129.649994,128.949997,129.130005,112.145851,115282000,12394.50977,12514.69043,12394.50977,12462.46973,12462.46973,141230000,73.949997,74.199997,71.650002,71.849998,69.41729,625600,1.2772,1.2766,1.2819,1.2742,1,113.28,112.5,114.01,112.43,186770,1,1
1/11/2012,159.339996,160.050003,158.910004,159.669998,159.669998,7968500,128.729996,129.369995,128.520004,129.199997,112.206642,111540700,12459.51953,12462.58008,12399.00977,12449.4502,12449.4502,130260000,72.099998,72.5,70.599998,71.699997,69.272377,641900,1.2704,1.2774,1.279,1.2662,0,112.24,113.12,113.76,112.11,191800,0,0
1/12/2012,161.020004,161.619995,159.830002,160.380005,160.380005,8602500,129.570007,129.699997,128.539992999999,129.509995,112.475837999999,118983700,12449.91016,12483.7002,12385.08008,12471.01953,12471.01953,128230000,72.199997,73.050003,70.349998,70.650002,68.257919,629100,1.2826,1.2706,1.2845,1.2698,1,111.26,112.84,115.12,110.31,148850,0,0
1/13/2012,159.320007,159.589996,158.009995,159.259995,159.259995,8910300,128.639999,129.050003,127.720001,128.839996,111.893974,179836200,12469.95996,12470.12012,12311.79004,12422.05957,12422.05957,161470000,69.949997,70.199997,68.599998,70,67.629936,504000,1.2677,1.2822,1.2879,1.2624,0,110.44,111.21,112.5,109.71,108350,0,0
